Country1,Country2,year,score
Albania,Switzerland,2021,12
Albania,Italy,2021,10
Albania,Greece,2021,8
Albania,Moldova,2021,7
Albania,France,2021,6
Albania,Bulgaria,2021,5
Albania,Ukraine,2021,4
Albania,Finland,2021,3
Albania,Cyprus,2021,2
Albania,Sweden,2021,1
Australia,Iceland,2021,12
Australia,Ukraine,2021,10
Australia,Malta ,2021,8
Australia,Italy,2021,7
Australia,Lithuania,2021,6
Australia,Switzerland,2021,5
Australia,France,2021,4
Australia,Finland,2021,3
Australia,Serbia,2021,2
Australia,Norway,2021,1
Austria,Serbia,2021,12
Austria,Iceland,2021,10
Austria,Italy,2021,8
Austria,Ukraine,2021,7
Austria,France,2021,6
Austria,Switzerland,2021,5
Austria,Finland,2021,4
Austria,Lithuania,2021,3
Austria,Malta ,2021,2
Austria,Norway,2021,1
Azerbaijan,Israel,2021,12
Azerbaijan,Italy,2021,10
Azerbaijan,Ukraine,2021,8
Azerbaijan,Norway,2021,7
Azerbaijan,Russia,2021,6
Azerbaijan,Finland ,2021,5
Azerbaijan,Switzerland,2021,4
Azerbaijan,SanMarino,2021,3
Azerbaijan,France,2021,2
Azerbaijan,Moldova,2021,1
Belgium,France,2021,12
Belgium,Ukraine,2021,10
Belgium,Italy,2021,8
Belgium,Lithuania,2021,7
Belgium,Finland,2021,6
Belgium,Iceland,2021,5
Belgium,Switzerland,2021,4
Belgium,Sweden,2021,3
Belgium,Malta,2021,2
Belgium,Norway,2021,1
Bulgaria,Italy,2021,12
Bulgaria,France,2021,10
Bulgaria,Finland,2021,8
Bulgaria,Russia,2021,7
Bulgaria,Ukraine,2021,6
Bulgaria,Serbia,2021,5
Bulgaria,Azerbaijan,2021,4
Bulgaria,Switzerland,2021,3
Bulgaria,Greece,2021,2
Bulgaria,Sweden,2021,1
Croatia,Serbia,2021,12
Croatia,Italy,2021,10
Croatia,Ukraine,2021,8
Croatia,France,2021,7
Croatia,Finland,2021,6
Croatia,Switzerland,2021,5
Croatia,Iceland,2021,4
Croatia,Russia,2021,3
Croatia,Azerbaijan,2021,2
Croatia,Albania,2021,1
Cyprus,Greece,2021,12
Cyprus,Italy,2021,10
Cyprus,France,2021,8
Cyprus,Bulgaria,2021,7
Cyprus,Ukraine,2021,6
Cyprus,Lithuania,2021,5
Cyprus,Finland,2021,4
Cyprus,Russia,2021,3
Cyprus,Israel,2021,2
Cyprus,Malta,2021,1
CzechRepublic,Moldova,2021,12
CzechRepublic,Ukraine,2021,10
CzechRepublic,Greece,2021,8
CzechRepublic,Iceland,2021,7
CzechRepublic,Italy,2021,6
CzechRepublic,Russia,2021,5
CzechRepublic,Finland,2021,4
CzechRepublic,Switzerland,2021,3
CzechRepublic,France,2021,2
CzechRepublic,Lithuania,2021,1
Denmark,Iceland,2021,12
Denmark,Sweden,2021,10
Denmark,Norway,2021,8
Denmark,Finland,2021,7
Denmark,Switzerland,2021,6
Denmark,Italy,2021,5
Denmark,Lithuania,2021,4
Denmark,France,2021,3
Denmark,Malta,2021,2
Denmark,Ukraine,2021,1
Estonia,Finland,2021,12
Estonia,Lithuania,2021,10
Estonia,Italy,2021,8
Estonia,France,2021,7
Estonia,Russia,2021,6
Estonia,Ukraine,2021,5
Estonia,Norway,2021,4
Estonia,Iceland,2021,3
Estonia,Switzerland,2021,2
Estonia,Sweden,2021,1
Finland,Iceland,2021,12
Finland,Ukraine,2021,10
Finland,Italy,2021,8
Finland,Switzerland,2021,7
Finland,France,2021,6
Finland,Lithuania,2021,5
Finland,Norway,2021,4
Finland,Sweden,2021,3
Finland,Moldova,2021,2
Finland,Russia,2021,1
France,Ukraine,2021,12
France,Italy,2021,10
France,Portugal,2021,8
France,Moldova,2021,7
France,Switzerland,2021,6
France,Israel,2021,5
France,Iceland,2021,4
France,Serbia,2021,3
France,Sweden,2021,2
France,Finland,2021,1
Georgia,Greece,2021,12
Georgia,Lithuania,2021,10
Georgia,Italy,2021,8
Georgia,SanMarino,2021,7
Georgia,Ukraine,2021,6
Georgia,France,2021,5
Georgia,Russia,2021,4
Georgia,Azerbaijan,2021,3
Georgia,Moldova,2021,2
Georgia,Iceland,2021,1
Germany,Lithuania,2021,12
Germany,France,2021,10
Germany,Finland,2021,8
Germany,Italy,2021,7
Germany,Iceland,2021,6
Germany,Russia,2021,5
Germany,Ukraine,2021,4
Germany,Serbia,2021,3
Germany,Switzerland,2021,2
Germany,Norway,2021,1
Greece,Cyprus,2021,12
Greece,Italy,2021,10
Greece,France,2021,8
Greece,Albania,2021,7
Greece,Finland,2021,6
Greece,Ukraine,2021,5
Greece,Switzerland,2021,4
Greece,Malta,2021,3
Greece,Azerbaijan,2021,2
Greece,Russia,2021,1
Iceland,Finland,2021,12
Iceland,Sweden,2021,10
Iceland,Ukraine,2021,8
Iceland,France,2021,7
Iceland,Switzerland,2021,6
Iceland,Italy,2021,5
Iceland,Lithuania,2021,4
Iceland,Malta,2021,3
Iceland,Portugal,2021,2
Iceland,Norway,2021,1
Malta,Italy,2021,12
Malta,Norway,2021,10
Malta,Sweden,2021,8
Malta,Finland,2021,7
Malta,Lithuania,2021,6
Malta,Iceland,2021,5
Malta,Serbia,2021,4
Malta,France,2021,3
Malta,Cyprus,2021,2
Malta,Ukraine,2021,1
Moldova,Russia,2021,12
Moldova,Ukraine,2021,10
Moldova,Italy,2021,8
Moldova,Greece,2021,7
Moldova,France,2021,6
Moldova,Finland,2021,5
Moldova,Switzerland,2021,4
Moldova,Sweden,2021,3
Moldova,Lithuania,2021,2
Moldova,Azerbaijan,2021,1
Netherlands,France,2021,12
Netherlands,Greece,2021,10
Netherlands,Iceland,2021,8
Netherlands,Switzerland,2021,7
Netherlands,Portugal,2021,6
Netherlands,Ukraine,2021,5
Netherlands,Finland,2021,4
Netherlands,Lithuania,2021,3
Netherlands,Italy,2021,2
Netherlands,Malta,2021,1
NorthMacedonia,Serbia,2021,12
NorthMacedonia,Albania,2021,10
NorthMacedonia,Italy,2021,8
NorthMacedonia,Switzerland,2021,7
NorthMacedonia,Cyprus,2021,6
NorthMacedonia,France,2021,5
NorthMacedonia,Ukraine,2021,4
NorthMacedonia,Azerbaijan,2021,3
NorthMacedonia,Finland,2021,2
NorthMacedonia,Russia,2021,1
Norway,Lithuania,2021,12
Norway,Iceland,2021,10
Norway,Sweden,2021,8
Norway,Italy,2021,7
Norway,Finland,2021,6
Norway,Ukraine,2021,5
Norway,France,2021,4
Norway,Malta,2021,3
Norway,Switzerland,2021,2
Norway,Azerbaijan,2021,1
Poland,Ukraine,2021,12
Poland,Italy,2021,10
Poland,Iceland,2021,8
Poland,Switzerland,2021,7
Poland,Finland,2021,6
Poland,France,2021,5
Poland,Lithuania,2021,4
Poland,Norway,2021,3
Poland,Russia,2021,2
Poland,Sweden,2021,1
Portugal,France,2021,12
Portugal,Ukraine,2021,10
Portugal,Moldova,2021,8
Portugal,Italy,2021,7
Portugal,Switzerland,2021,6
Portugal,Finland,2021,5
Portugal,Sweden,2021,4
Portugal,Iceland,2021,3
Portugal,Greece,2021,2
Portugal,Russia,2021,1
Romania,Moldova,2021,12
Romania,Italy,2021,10
Romania,France,2021,8
Romania,Ukraine,2021,7
Romania,Finland,2021,6
Romania,Switzerland,2021,5
Romania,Azerbaijan,2021,4
Romania,Lithuania,2021,3
Romania,Malta,2021,2
Romania,Israel,2021,1
Russia,Cyprus,2021,12
Russia,Italy,2021,10
Russia,Finland,2021,8
Russia,Ukraine,2021,7
Russia,France,2021,6
Russia,Switzerland,2021,5
Russia,Azerbaijan,2021,4
Russia,Moldova,2021,3
Russia,Lithuania,2021,2
Russia,Iceland,2021,1
SanMarino,Italy,2021,12
SanMarino,France,2021,10
SanMarino,Cyprus,2021,8
SanMarino,Greece,2021,7
SanMarino,Moldova,2021,6
SanMarino,Ukraine,2021,5
SanMarino,Finland,2021,4
SanMarino,Switzerland,2021,3
SanMarino,Bulgaria,2021,2
SanMarino,Russia,2021,1
Serbia,Italy,2021,12
Serbia,France,2021,10
Serbia,Ukraine,2021,8
Serbia,Finland,2021,7
Serbia,Russia,2021,6
Serbia,Iceland,2021,5
Serbia,Azerbaijan,2021,4
Serbia,Greece,2021,3
Serbia,Cyprus,2021,2
Serbia,Switzerland,2021,1
Slovenia,Serbia,2021,12
Slovenia,Italy,2021,10
Slovenia,Greece,2021,8
Slovenia,Ukraine,2021,7
Slovenia,France,2021,6
Slovenia,Switzerland,2021,5
Slovenia,Finland,2021,4
Slovenia,Iceland,2021,3
Slovenia,Norway,2021,2
Slovenia,Russia,2021,1
Sweden,Finland,2021,12
Sweden,Iceland,2021,10
Sweden,Norway,2021,8
Sweden,Lithuania,2021,7
Sweden,France,2021,6
Sweden,Switzerland,2021,5
Sweden,Ukraine,2021,4
Sweden,Italy,2021,3
Sweden,Malta,2021,2
Sweden,Serbia,2021,1
Switzerland,Serbia,2021,12
Switzerland,Italy,2021,10
Switzerland,Portugal,2021,8
Switzerland,Albania,2021,7
Switzerland,France,2021,6
Switzerland,Iceland,2021,5
Switzerland,Finland,2021,4
Switzerland,Sweden,2021,3
Switzerland,Ukraine,2021,2
Switzerland,Lithuania,2021,1
Ukraine,Italy,2021,12
Ukraine,Lithuania,2021,10
Ukraine,Finland,2021,8
Ukraine,Switzerland,2021,7
Ukraine,Iceland,2021,6
Ukraine,France,2021,5
Ukraine,Russia,2021,4
Ukraine,Azerbaijan,2021,3
Ukraine,Sweden,2021,2
Ukraine,Belgium,2021,1
UnitedKingdom,Lithuania,2021,12
UnitedKingdom,Iceland,2021,10
UnitedKingdom,Bulgaria,2021,8
UnitedKingdom,Finland,2021,7
UnitedKingdom,Malta,2021,6
UnitedKingdom,France,2021,5
UnitedKingdom,Ukraine,2021,4
