Country1,Country2,year,score
Lithuania,Serbia,2012,5
Lithuania,Italy,2012,4
Lithuania,Ukraine,2012,2
Lithuania,Azerbaijan,2012,12
Lithuania,Germany,2012,3
Lithuania,Russia,2012,6
Lithuania,Turkey,2012,1
Lithuania,Sweden,2012,10
Lithuania,Malta,2012,7
Lithuania,Estonia,2012,8
Turkey,Greece,2012,3
Turkey,Romania,2012,4
Turkey,Azerbaijan,2012,12
Turkey,Macedonia,2012,8
Turkey,Russia,2012,7
Turkey,Sweden,2012,6
Turkey,Malta,2012,2
Turkey,Hungary,2012,1
Turkey,BosniaHerzegovina,2012,10
Turkey,Albania,2012,5
Denmark,Italy,2012,3
Denmark,Ireland,2012,4
Denmark,Albania,2012,5
Denmark,Iceland,2012,6
Denmark,Romania,2012,1
Denmark,Russia,2012,8
Denmark,Turkey,2012,2
Denmark,Sweden,2012,12
Denmark,Germany,2012,10
Denmark,Moldova,2012,7
Albania,Serbia,2012,1
Albania,Macedonia,2012,8
Albania,Italy,2012,7
Albania,Azerbaijan,2012,4
Albania,Greece,2012,12
Albania,Russia,2012,3
Albania,Turkey,2012,10
Albania,Sweden,2012,5
Albania,Germany,2012,2
Albania,Cyprus,2012,6
Sweden,Serbia,2012,10
Sweden,Spain,2012,4
Sweden,Ireland,2012,5
Sweden,Albania,2012,1
Sweden,Norway,2012,3
Sweden,Russia,2012,7
Sweden,Turkey,2012,6
Sweden,France,2012,2
Sweden,Cyprus,2012,12
Sweden,Estonia,2012,8
Slovenia,Serbia,2012,12
Slovenia,Italy,2012,5
Slovenia,Albania,2012,3
Slovenia,Iceland,2012,4
Slovenia,Macedonia,2012,6
Slovenia,Russia,2012,8
Slovenia,Sweden,2012,10
Slovenia,Germany,2012,2
Slovenia,BosniaHerzegovina,2012,7
Slovenia,Moldova,2012,1
Netherlands,Serbia,2012,10
Netherlands,Spain,2012,6
Netherlands,Lithuania,2012,1
Netherlands,Ireland,2012,5
Netherlands,Norway,2012,3
Netherlands,Russia,2012,4
Netherlands,Turkey,2012,8
Netherlands,Sweden,2012,12
Netherlands,Germany,2012,2
Netherlands,Estonia,2012,7
Switzerland,Serbia,2012,10
Switzerland,Turkey,2012,3
Switzerland,Spain,2012,8
Switzerland,Albania,2012,12
Switzerland,France,2012,6
Switzerland,Sweden,2012,7
Switzerland,Germany,2012,4
Switzerland,Italy,2012,5
Switzerland,BosniaHerzegovina,2012,1
Switzerland,Moldova,2012,2
SanMarino,Serbia,2012,6
SanMarino,Italy,2012,7
SanMarino,Sweden,2012,3
SanMarino,Albania,2012,12
SanMarino,Russia,2012,10
SanMarino,Turkey,2012,5
SanMarino,Azerbaijan,2012,4
SanMarino,Malta,2012,2
SanMarino,Spain,2012,1
SanMarino,Moldova,2012,8
Estonia,Denmark,2012,2
Estonia,Italy,2012,7
Estonia,Lithuania,2012,3
Estonia,Iceland,2012,6
Estonia,UnitedKingdom,2012,5
Estonia,Russia,2012,8
Estonia,Sweden,2012,12
Estonia,Germany,2012,10
Estonia,Spain,2012,4
Estonia,Ukraine,2012,1
Slovakia,Hungary,2012,8
Slovakia,Serbia,2012,7
Slovakia,Italy,2012,5
Slovakia,Azerbaijan,2012,6
Slovakia,Russia,2012,3
Slovakia,Macedonia,2012,1
Slovakia,Iceland,2012,4
Slovakia,Sweden,2012,12
Slovakia,BosniaHerzegovina,2012,2
Slovakia,Estonia,2012,10
Finland,Serbia,2012,2
Finland,Spain,2012,3
Finland,Denmark,2012,5
Finland,Ireland,2012,4
Finland,Albania,2012,6
Finland,Iceland,2012,7
Finland,Russia,2012,8
Finland,Sweden,2012,12
Finland,Germany,2012,1
Finland,Estonia,2012,10
Romania,Hungary,2012,7
Romania,Serbia,2012,5
Romania,Spain,2012,6
Romania,Albania,2012,1
Romania,Greece,2012,8
Romania,Russia,2012,4
Romania,Turkey,2012,3
Romania,Sweden,2012,10
Romania,Cyprus,2012,2
Romania,Moldova,2012,12
Ireland,Italy,2012,2
Ireland,Sweden,2012,12
Ireland,Azerbaijan,2012,1
Ireland,UnitedKingdom,2012,4
Ireland,Romania,2012,5
Ireland,Russia,2012,6
Ireland,Lithuania,2012,7
Ireland,Germany,2012,10
Ireland,Ukraine,2012,3
Ireland,Estonia,2012,8
Portugal,Serbia,2012,5
Portugal,Spain,2012,12
Portugal,Sweden,2012,3
Portugal,Romania,2012,4
Portugal,Russia,2012,8
Portugal,Estonia,2012,7
Portugal,Germany,2012,10
Portugal,Italy,2012,2
Portugal,Ukraine,2012,1
Portugal,Moldova,2012,6
Belarus,Estonia,2012,4
Belarus,Lithuania,2012,8
Belarus,Ireland,2012,1
Belarus,Azerbaijan,2012,7
Belarus,Sweden,2012,6
Belarus,Macedonia,2012,2
Belarus,Russia,2012,12
Belarus,Ukraine,2012,10
Belarus,Malta,2012,3
Belarus,Moldova,2012,5
Cyprus,Serbia,2012,7
Cyprus,Romania,2012,3
Cyprus,Spain,2012,6
Cyprus,Azerbaijan,2012,8
Cyprus,Iceland,2012,1
Cyprus,Greece,2012,12
Cyprus,Russia,2012,5
Cyprus,Sweden,2012,10
Cyprus,Italy,2012,2
Cyprus,Albania,2012,4
Moldova,Serbia,2012,3
Moldova,Greece,2012,4
Moldova,Italy,2012,5
Moldova,Sweden,2012,7
Moldova,Azerbaijan,2012,10
Moldova,Romania,2012,12
Moldova,Russia,2012,6
Moldova,Ukraine,2012,8
Moldova,Hungary,2012,1
Moldova,Estonia,2012,2
Serbia,Hungary,2012,2
Serbia,Greece,2012,4
Serbia,Azerbaijan,2012,3
Serbia,Macedonia,2012,12
Serbia,Russia,2012,7
Serbia,Sweden,2012,10
Serbia,Malta,2012,6
Serbia,Cyprus,2012,8
Serbia,BosniaHerzegovina,2012,5
Serbia,Albania,2012,1
Montenegro,Serbia,2012,12
Montenegro,Italy,2012,2
Montenegro,Lithuania,2012,1
Montenegro,Albania,2012,10
Montenegro,Macedonia,2012,8
